_id,user_id,comment_on,object_id,content,device,timestamp,sentiment
{'$oid': '55bc09641a77ce605254ba08'},61124,vod,55b0bcfa17dc136d91bd3ca9,"""cập nhật phim chậm quá""",ios,2015-08-01 00:09:00,Tiêu cực
{'$oid': '55bc0f581a77ce605254ba09'},635324,event,5532214117dc135c8ad7d922,"""giong hat viet nhi""",ios,2015-08-01 00:34:00,Tích cực
{'$oid': '55bc11931a77ce605254ba0a'},246560,vod,53217703c969280a291e1be0,"""Nhưng cảnh nóng bị cắt bớt rồi add""",ios,2015-08-01 00:44:00,Trung tính
{'$oid': '55bc15581a77ce605254ba0b'},638291,vod,544e257b17dc13291c541b42,"""tập ace chết la 484""",web-playfpt,2015-08-01 01:00:00,Tích cực
{'$oid': '55bc1dde1a77ce605254ba0c'},638310,vod,55912b4917dc130d4f749c7e,"""10 tập là hết chưa vậy mấy chế""",web-playfpt,2015-08-01 01:36:00,Trung tính
{'$oid': '55bc29561a77ce605254ba0d'},634701,vod,55b0bcfa17dc136d91bd3ca9,"""sao k thấy tập 18 vại ta""",ios,2015-08-01 02:25:00,Trung tính
{'$oid': '55bc2b4c1a77ce605254ba0e'},627586,vod,55b0bcfa17dc136d91bd3ca9,"""dung 18 dau""",ios,2015-08-01 02:33:00,Trung tính
{'$oid': '55bc34e11a77ce605254ba0f'},638369,vod,5595f8c817dc130d4f749e68,"""tập 6 sub lệch từ phút thứ 10 ad ơi""",ios,2015-08-01 03:14:00,Tiêu cực
{'$oid': '55bc36ea1a77ce605254ba10'},442920,vod,555ee33f17dc1321b04f9da2,"""không hay vì quá hay...hay!""",web-playfpt,2015-08-01 03:23:00,Tích cực
{'$oid': '55bc37451a77ce605254ba11'},637681,vod,544e257b17dc13291c541b42,"""one piece là ai""",winphone,2015-08-01 03:25:00,Trung tính
{'$oid': '55bc3bb21a77ce605254ba12'},411587,vod,55555e9717dc132457dfbc62,"""fpt play xem đã wa. ung dụng xm phim so 1""",ios,2015-08-01 03:43:00,Tiêu cực
{'$oid': '55bc3c911a77ce605254ba13'},600941,vod,551ced2b17dc1354f50bbff4,"""tuyệt vời!!""",ios,2015-08-01 03:47:00,Tích cực
{'$oid': '55bc3dd41a77ce605254ba14'},24738,event,55bc164517dc1344d2012db7,"""Sieu nhan""",ios,2015-08-01 03:53:00,Trung tính
{'$oid': '55bc426c1a77ce605254ba15'},138111,vod,5578005317dc1328689cf22e,"""một tuần ra mấy tập vậy ad""",web-playfpt,2015-08-01 04:12:00,Trung tính
{'$oid': '55bc42891a77ce605254ba16'},638064,vod,55a626ca17dc134874192871,"""ko tua đc hả ad""",android,2015-08-01 04:13:00,Tiêu cực
{'$oid': '55bc43171a77ce605254ba17'},304226,vod,55bb43a617dc1344d3012cc2,"""Cứ Tưởng là phim tài liệu chứ ^^""",web-playfpt,2015-08-01 04:15:00,Trung tính
{'$oid': '55bc481b1a77ce605254ba18'},554049,vod,5343cd93c96928320717f7b2,"""nội dung tập 8 không ăn nhập với tập 7, phụ đề bị loạn, ad fix giúp""",android,2015-08-01 04:36:00,Tiêu cực
{'$oid': '55bc4df31a77ce605254ba19'},608986,vod,55b9e8c917dc1344d4012c39,"""lỗi tải lại làm như thế nào admin""",android,2015-08-01 05:01:00,Tiêu cực
{'$oid': '55bc4fa31a77ce605254ba1a'},354617,vod,550296e217dc132644737773,"""ko có âm thanh ah""",web-playfpt,2015-08-01 05:09:00,Tiêu cực
{'$oid': '55bc516c1a77ce605254ba1b'},16773,vod,548ac34217dc13572911a81b,"""Thich phim hanh dong co Li Lien Kiet dong""",android,2015-08-01 05:16:00,Tích cực
{'$oid': '55bc530b1a77ce605254ba1c'},522349,vod,55b6049117dc131ef2922fc6,"""T6 thuyết minh ko khớp gì cả cứ đọc như con vẹt ấy thà bắn phụ đề còn hơn""",web-playfpt,2015-08-01 05:23:00,Tiêu cực
{'$oid': '55bc53391a77ce605254ba1d'},267281,vod,55b8974f17dc1344d5012b9b,"""giật quá :(""",winphone,2015-08-01 05:24:00,Tiêu cực
{'$oid': '55bc57411a77ce605254ba1e'},211161,vod,55b9f01217dc1344d2012c8e,"""Y chà không có bản phụ đề phải nghe bản lồng tiếng, ai không thích thì cho qua nha nghe lồng tiếng mà buồn 30% kaa""",web-playfpt,2015-08-01 05:41:00,Tiêu cực
{'$oid': '55bc579c1a77ce605254ba1f'},638511,vod,5338e5a2c96928187cbcb009,"""cảm động quá""",ios,2015-08-01 05:43:00,Tiêu cực
{'$oid': '55bc58ba1a77ce605254ba20'},637828,event,557e482b17dc1323aefd4399,"""k hay lam""",ios,2015-08-01 05:47:00,Trung tính
{'$oid': '55bc5b811a77ce605254ba21'},637290,vod,55b87ba117dc131ef29230ad,"""phim như shit k gì gọi là sợ hết :-j""",android,2015-08-01 05:59:00,Tiêu cực
{'$oid': '55bc5bf51a77ce605254ba22'},610611,vod,5578005317dc1328689cf22e,"""http://14kbs.blogspot.com xem phim max băng thông viettel""",web-playfpt,2015-08-01 06:01:00,Tích cực
{'$oid': '55bc626a1a77ce605254ba23'},44914,vod,55b7265217dc131ef2923024,"""tuyệt vời""",ios,2015-08-01 06:29:00,Tích cực
{'$oid': '55bc642b1a77ce605254ba24'},489710,vod,533a81b8c96928187cbcb0ed,"""Phim rất hay""",android,2015-08-01 06:36:00,Tích cực
